employees,volume,eps,profit,income,cash,liab,assets,cap,shares,ticker
2970,1793628,0.7,2387000000,1543000000,1628000000,6339000000,12375000000,21129562112,207304992,CF
18600,184718,2.53,1337470000,480710000,241214000,4432300000,7024292000,14284003328,50486000,CRL
33400,2219345,0.84,17933000000,7713000000,62975000000,611009000000,667270000000,172857163776,1814620032,SCHW
93700,353759,4.11,23271000000,6388000000,601000000,124335000000,142491000000,108800573440,191492992,CHTR
42595,5298002,0.9,66234000000,21639000000,5640000000,99595000000,239535000000,322222129152,1947549952,CVX
97660,119414,5.36,2904063000,812763000,815374000,4355584000,6652958000,42808496128,28031900,CMG
5100,183510,0.83,2263500000,1031700000,240600000,4763300000,7996500000,23541512192,242696000,CHD
72226,809236,4.73,23159000000,6782000000,5081000000,107705000000,154889000000,76477341696,318376992,CI
5166,158746,1.37,3827000000,3670000000,1139000000,18282000000,31387000000,21117927424,160434000,CINF
40000,351745,2.37,3314651000,1287749000,493640000,4548976000,8236823000,41449693184,103733000,CTAS
79500,6473258,0.83,31894000000,13262000000,9175000000,56222000000,97497000000,228175675392,4154170112,CSCO
220092,12721006,3.62,74990000000,27469000000,234911000000,2088741000000,2291413000000,111682576384,1980889984,C
17463,2331274,1.37,7058000000,2977000000,9158000000,164989000000,188409000000,20421167104,422143008,CFG
9000,478654,1.62,3199000000,900000000,319000000,5742000000,6334000000,16866945024,123058000,CLX
3480,339627,1.79,4679300000,3373600000,2834900000,169381000000,196780300000,89320210432,359419008,CME
8504,817676,1.21,2646000000,823000000,452000000,21565000000,28753000000,19422611456,289760000,CMS
79000,7243897,0.55,23298000000,12425000000,9684000000,69494000000,94354000000,261342134272,4335470080,KO
330600,878413,0.97,6914000000,2830000000,1792000000,5861000000,17852000000,47785140224,524535008,CTSH
33800,1577519,0.8,10375000000,3087000000,832000000,14069000000,15040000000,61990113280,840486976,CL
189000,6199779,0.76,77935000000,19093000000,8711000000,177896000000,275905000000,211916947456,4523789824,CMCSA
7223,411681,2.43,3351000000,1490000000,1236000000,86719000000,94616000000,12292214784,131079000,CMA
18600,1865116,0.59,3216300000,1494700000,79200000,13564200000,22195600000,15475056640,479697984,CAG
9900,3421916,0.69,22936000000,12712000000,5028000000,45255000000,90661000000,135151116288,1299529984,COP
13871,445185,1.44,7668000000,1383000000,992000000,42780000000,63116000000,31637940224,354089984,ED
9300,109608,1.82,4574300000,2542900000,460600000,13175700000,27104800000,42226262016,164339008,STZ
12000,98723,3.38,1985200000,491500000,95900000,2664200000,9606200000,20091387904,49301600,COO
8600,256750,1.09,1377451000,1121846000,1048260000,1032942000,4562143000,29888995328,237496992,CPRT
61200,1128678,0.45,5143000000,2397000000,2148000000,17609000000,30154000000,31918907392,845646016,GLW
21000,1829358,0.79,6435000000,2346000000,4459000000,16721000000,42344000000,41880780800,726774016,CTVA
288000,724064,2.75,25245000000,6680000000,11258000000,41190000000,59268000000,245523939328,443224000,COST
936,3454817,0.38,2851000000,1502000000,1036000000,8112000000,19900000000,21174663168,810979008,CTRA
5000,478264,0.28,4347000000,1179000000,292000000,30782000000,39040000000,75432321024,432215008,CCI
20900,8559987,0.31,6643000000,4951000000,2239000000,27031000000,40531000000,79883264000,2193390080,CSX
59900,351626,4.07,5695000000,2751000000,2592000000,14309000000,23710000000,29780062208,142427008,CMI
216000,1136406,2.04,50849000000,10420000000,9408000000,157618000000,232999000000,139639111680,1312509952,CVS
11788,1767933,2.53,7444600000,5356300000,3131400000,8799700000,24015900000,28091523072,354358016,DHI
78000,802322,2.52,18056000000,7598000000,2586000000,38007000000,83184000000,205574569984,715353024,DHR
156883,960631,0.98,1493500000,576500000,1214700000,7843000000,10656100000,16920875008,127724000,DRI
69000,242285,2.09,3646383000,1518494000,461900000,14750508000,17121488000,10620264448,95851904,DVA
75550,1220893,5.68,12188000000,7623000000,7188000000,65680000000,84114000000,133197938688,306784000,DE
83000,7112202,-3.55,2171000000,398000000,7933000000,68572000000,72459000000,23248721920,639929984,DAL
15000,582817,0.72,2358000000,559000000,339000000,4177000000,9220000000,10763484160,217554000,XRAY
1600,7632410,0.45,7414000000,2898000000,2099000000,11626000000,21025000000,41050882048,664200000,DVN
6300,279328,0.33,1680500000,173900000,1052600000,2612100000,4863600000,43868311552,97065600,DXCM
870,940200,2.3,5577000000,2907000000,654000000,9653000000,22898000000,25311430656,177415008,FANG
3030,325994,1.32,2791645000,1820211000,142698000,17845778000,36369560000,39982407680,284468992,DLR
16700,600471,5.04,11369000000,7064000000,8750000000,96834000000,110242000000,31601551360,284904000,DFS
11000,3016344,0.53,7576000000,1433000000,3905000000,21031000000,34427000000,13638467584,169580000,DISCA
11000,1703932,0.53,7576000000,1433000000,3905000000,21031000000,34427000000,13635435520,330153984,DISCK
14500,400554,0.99,6142823000,3218756000,2428188000,32078612000,48001725000,16620871680,290572000,DISH
163000,786029,2.82,10813006000,3063149000,344829000,20065385000,26327371000,50480271360,228868000,DG
61886,526325,1.6,7746100000,1632200000,984900000,14003300000,21721800000,34472218624,224956000,DLTR
17100,835443,1.09,6808000000,3098000000,283000000,72282000000,99590000000,65914953728,810462976,D
7400,108913,3.0,1208741000,625705000,148160000,5881352000,1671816000,14120369152,36033300,DPZ
25000,225160,1.81,2982681000,1400826000,385504000,6214099000,10403627000,22899884032,144106000,DOV
35700,1256006,1.36,10777000000,8145000000,2988000000,44251000000,62990000000,48166199296,735086016,DOW
10300,248974,2.44,3336000000,656000000,28000000,31006000000,39719000000,24455084032,193742000,DTE
27605,1170377,1.26,12206000000,3764000000,343000000,118451000000,169587000000,81978851328,769899008,DUK
28000,1182268,0.61,5850000000,2196000000,2011000000,18657000000,45707000000,39091204096,512907008,DD
134000,411081,0.74,3835000000,654000000,2968000000,16730000000,22038000000,7877881856,244478000,DXC
14000,419618,2.13,2504000000,1082000000,459000000,9731000000,15519000000,14220011520,128968000,EMN
85947,415869,1.44,6335000000,2896000000,297000000,17576000000,34027000000,61124218880,399569984,ETN
10800,2356868,1.08,7770000000,398000000,1379000000,16848000000,26626000000,32643112960,587529024,EBAY
47000,1039276,0.81,5211200000,1414200000,359900000,13953300000,21206400000,50021638144,286296000,ECL
13003,1334016,0.79,8708000000,623000000,390000000,56956000000,74745000000,25151047680,380788000,EIX
15700,1479151,0.54,3983600000,1702000000,862800000,2666700000,8502600000,67300118528,623206976,EW
11000,753474,1.23,4135000000,1017000000,5260000000,5448000000,13288000000,35239931904,281222016,EA
86700,818203,0.97,7563000000,2912000000,2354000000,14792000000,24715000000,58081320960,594000000,EMR
2260,1117979,0.56,554422000,120928000,119316000,1649088000,2079256000,26134931456,133936000,ENPH
12369,269099,1.47,4883866000,1309866000,442559000,47529438000,59454242000,22322927616,203028000,ETR
2800,1646263,1.62,13034000000,5933000000,5209000000,16056000000,38236000000,72471158784,585388992,EOG
58824,738188,1.81,1274447000,533392000,1446625000,1027390000,3523227000,17097677824,56878500,EPAM
12700,225900,1.97,2943000000,949200000,224700000,7439700000,11040900000,28800460800,122085000,EFX
10944,101322,1.74,2787604000,608952000,1536358000,17036934000,27918698000,64645062656,90721000,EQIX
2400,350097,0.15,1515205000,1397629000,123832000,9483056000,21169241000,34135150592,375916992,EQR
1739,69718,2.59,1070627000,515691000,48420000,6786699000,12997873000,22810103808,65248400,ESS
44640,428612,1.62,12391000000,3331000000,4958000000,15023000000,21971000000,99128385536,232424000,EL
2402,1337284,1.0,1674602000,471654000,780196000,3203190000,3831809000,18606524416,127033000,ETSY
4930,435519,0.55,2656700000,1009300000,26200000,19278800000,28520500000,14880055296,229312000,EVRG
9227,453512,1.08,4751056000,1572269000,66773000,33736730000,48492144000,29098293248,344440000,ES
31518,2354985,-0.06,10183000000,2199000000,1182000000,98218000000,133013000000,42474237952,980137024,EXC
14800,1049558,-2.02,7076000000,-38000000,4111000000,17996000000,21548000000,29403240448,150231008,EXPE
19070,441771,1.67,2216724000,1924616000,1728692000,4111938000,7609929000,17303930880,167210000,EXPD
4309,154614,1.53,1230417000,898082000,71126000,6688501000,10474477000,27417319424,134153000,EXR
63000,12415305,0.65,90045000000,31234000000,6802000000,163240000000,338923000000,352192364544,4233590016,XOM
6270,171199,2.5,2116627000,386937000,580977000,2637067000,4997280000,12655715328,60738200,FFIV
10898,167929,2.72,805045000,467617000,681865000,1208587000,2224940000,16236542976,37797200,FDS
18370,913391,0.37,2777200000,1207800000,236200000,1256800000,4299000000,32927442944,575553984,FAST
310,86250,0.6,643333000,269081000,162132000,4745464000,7622320000,9226860544,78616800,FRT
384000,632815,5.01,23730000000,6674000000,7087000000,58609000000,82777000000,57617858560,259178000,FDX
19112,2258268,0.93,8297000000,3517000000,2994000000,188906000000,211116000000,31451820032,685673024,FITB
6295,446104,1.79,4975000000,1828000000,12947000000,165189000000,181087000000,29609351168,179603008,FRC
12395,1089555,0.69,7418000000,1559000000,1462000000,36757000000,45432000000,24767186944,570344000,FE
